Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
AMT,0x058A,Third Party 2A Current Draw,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). ",
Nebula-Galaxy,0x0593,Radiator Coolant Level Switch ,Table Only,FALSE,1,0,No Dependency,Technician,,37,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0594,Damper Solenoid ,Table Only,FALSE,1,0,No Dependency,Technician,,TBD,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0595,Water Pump On/Off Switch,Table Only,FALSE,1,0,No Dependency,Technician,,205,FALSE,FALSE,FALSE,,,
AMT,0x059D,Delta T Defrost - Zone 1,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE,,Event log which indicates defrost request,
AMT,0x05A5,Condenser Inlet Solenoid Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,107,FALSE,FALSE,FALSE,,,
AMT,0x05A6,Liquid Line Solenoid Z1 Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,67,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05A6,Liquid Line Solenoid Current Drawn Zone 1,Table and Graph,TRUE,0,0,No Dependency,Technician,,67,FALSE,FALSE,FALSE,,,
AMT,0x05A7,Suction Line Solenoid Z1 Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,110,FALSE,FALSE,FALSE,,,
AMT,0x05A8,Receiver Tank Pressure Solenoid Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,105,FALSE,FALSE,FALSE,,,
AMT,0x05AD,Purge Valve Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,106,FALSE,FALSE,FALSE,,,
AMT,0x05AE,Return Air Temperature - Zone 2,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","3, 280",FALSE,FALSE,FALSE,,,
AMT,0x05AF,Discharge Air Temperature - Zone 2,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","4, 280",FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05AF,Discharge Air Temperature Zone 2,Table and Graph,TRUE,0,0,No Dependency,Technician,Temperatures (◦C/◦F )MT Zone 2,4,FALSE,FALSE,FALSE,,,
AMT,0x05B0,Evaporator Coil Temperature - Zone 2,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","2, 9, 280",FALSE,FALSE,FALSE,,,
AMT,0x05CC,Electric Motor Rotation,Table Only,FALSE,1,0,No Dependency,Technician,,"7, 21, 22, 23, 24, 26, 32, 36, 48, 273, 274, 276, 277, 526, 555",TRUE,FALSE,FALSE,,"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation",
